orig.abbr.,redundant,new.abbr.,upper,TERM,DEFINITION ,ARTICLE ID 
XXX,,/,/,anterior chin shield,pair medially in contact or not,Weinell 2020 Calamaria alcalai
XXX,,/,/,anterior suboculars ,,Barr 2021 Oligosoma
XXX,,/,/,arrangement of longitudinal dorsal body scale rows,in horizontal or oblique rows,Weinell 2020 Calamaria alcalai
XXX,,/,/,Bilateral scale ,,Do 2021 Cyrtodactylus orlovi
XXX,,/,/,cloacal spurs,,Do 2021 Hemiphyllodactylus dalatensis
XXX,,/,/,distance between the eye and tympanum,minimal distance from bony margin of orbit to antero-dorsal border of tympanum,Harvey 2021 Gonocephalus Sumatra
XXX,,/,/,dorsal scales,the number of longitudinal dorsal scales at midbody contained within one eye diameter,Do 2021 Hemiphyllodactylus dalatensis
XXX,,/,/,dorsocaudal scale ,,Weinell 2020 Calamaria alcalai
XXX,,/,/,eye–mandible length,from posterior border of orbit to posterior tip of mandible,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,,/,/,frontal-supercilliaries ,,Fernández 2021 Liolaemus robertmertensi
XXX,,/,/,greatest width and height of the medial rostral ,,Harvey 2021 Gonocephalus Sumatra
XXX,,/,/,height of the longest dorsal crest scale,using the same technique as for nuchal crest scales,Harvey 2021 Gonocephalus Sumatra
XXX,,/,/,height of the longest nuchal crest scale,"a straight-line measure from the anterior-most edge of the scale, just above the paravertebral scale row, to the scale’s apex",Harvey 2021 Gonocephalus Sumatra
XXX,,/,/,hemipenis,,Chandramouli 2020 Trimeresurus
XXX,,/,/,infralabial mental,first infralabials medially in contact or not in contact and separated by mental scale,Weinell 2020 Calamaria alcalai
XXX,,/,/,infralabial-chin shield,number of infralabial pairs in contact with anterior chin shields,Weinell 2020 Calamaria alcalai
XXX,,/,/,internasal-prefrontal,internasals and prefrontals fused or not fused to each other,Weinell 2020 Calamaria alcalai
XXX,,/,/,left postrostral organs ,,Fernández 2021 Liolaemus robertmertensi
XXX,,/,/,longitudinal ventral scale ,???,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,,/,/,lorilabial scales contacting subocular,,Fernández 2021 Liolaemus robertmertensi
XXX,,/,/,mentals (pimary),,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,,/,/,neck scales,,Fernández 2021 Liolaemus robertmertensi
XXX,,/,/,nuchal scale pairs,,Barr 2021 Oligosoma
XXX,,/,/,number of keeled dorsal scale rows at midbody,,Le 2021 Pareas southern Vietnam
XXX,,/,/,orbit scales ,,Weinell 2020 Calamaria alcalai
XXX,,/,/,paraparietal scales,,Weinell 2020 Calamaria alcalai
XXX,,/,/,pectoral width,axilla to axilla,Harvey 2021 Gonocephalus Sumatra
XXX,,/,/,posterior chin shield,pair medially in contact or not,Weinell 2020 Calamaria alcalai
XXX,,/,/,posterior suboculars,,Barr 2021 Oligosoma
XXX,,/,/,prefrontal scales ,,Weinell 2020 Calamaria alcalai
XXX,,/,/,reduction of dorsal body scale rows,present or absent,Weinell 2020 Calamaria alcalai
XXX,,/,/,scales from occiput to rostral,number of scales?,Fernández 2021 Liolaemus robertmertensi
