ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
SVL,Snout - vent length,from tip of snout to anterior margin of vent,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,tail length,from the posterior margin of vent to the tip of tail,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,brachium length,on the dorsal surface from the axilla to the inflection of the flexed elbow,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,forearm length,on the dorsal surface from the posterior margin of the elbow while flexed to the inflection of the flexed wrist,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,thigh length,from the anterior margin of the hind limb at its insertion point on the body to the knee while flexed ,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,tibia (crus) length,"from the posterior surface of the knee while flexed to the base of the heel), ","Amarasinghe 2021, Hemidactylus kimbulae"
XXX,axilla–groin (trunk) length,from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,body width,maximum width of the body,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,tail width,maximum width of the tail ,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,head length,from posterior edge of mandible to tip of snout,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,head width,maximum width of head at the angle of the jaws ,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,head depth,"height; maximum height of the head, from the occiput to the underside of the jaws ","Amarasinghe 2021, Hemidactylus kimbulae"
XXX,eye (orbit) diameter,the greatest horizontal diameter of the orbit,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,eye–ear length,from posterior border of orbit to anterior border of tympanum,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,snout length,from anterior border of orbit to tip of snout,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,eye–nostril length,from anterior border of orbit to middle of nostril,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,interorbital distance,shortest distance between the left and right supraciliary scale rows ,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,ear length,greatest horizontal diameter of tympanum,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,internarial distance,shortest distance between dorsal margins of nostrils,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,eye–mandible length,from posterior border of orbit to posterior tip of mandible,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,palm length,from wrist [carpus] to distal tip of longest finger,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,foot length,from heel to tip of longest toe,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,finger and toe lengths,from tip of claw to the nearest fork,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,supralabial and infralabial scales,"below the middle of the orbit to the rostral and mental scales, respectively","Amarasinghe 2021, Hemidactylus kimbulae"
XXX,subdigital lamellae,on Toe I and IV from the base of the first phalanx to the claw,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,longitudinal ventral scale ,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,postmental scales,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,mentals (pimary),,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,secondary postmentals,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,tertiary postmentals,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,quaternary postmentals,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,subcaudal scales,,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,postcloacal tubercles (spur) ,,"Amarasinghe 2021, Hemidactylus kimbulae"
ED,eye diameter,horizontal diameter of eye,Amarasinghe 2021 Oligodon tolaki
XXX,eye–nostril length,distance between anteriormost point of eye and middle of nostril,Amarasinghe 2021 Oligodon tolaki
ES,snout length,distance between anteriormost point of eye and snout,Amarasinghe 2021 Oligodon tolaki
IN,internarial distance,least distance between nostrils ,Amarasinghe 2021 Oligodon tolaki
EM,posterior eye–mandible distance,distance between posteriormost edge of eye and posterior edge of mandible,Amarasinghe 2021 Oligodon tolaki
IO,interorbital width,least distance between upper margins of orbits ,Amarasinghe 2021 Oligodon tolaki
HL,head length,distance between posterior edge of mandible and tip of snout ,Amarasinghe 2021 Oligodon tolaki
HW,head width,maximum width of head ,Amarasinghe 2021 Oligodon tolaki
SVL,snout–vent length,measured from tip of snout to anterior margin of vent ,Amarasinghe 2021 Oligodon tolaki
TL,tail length,measured from anterior margin of vent to tail tip ,Amarasinghe 2021 Oligodon tolaki
SUPs ,supralabials,,Amarasinghe 2021 Oligodon tolaki
XXX,infralabials,first labial scale to last labial scale bordering gape ,Amarasinghe 2021 Oligodon tolaki
DSRs,dorsal scale rows,"counted around the body from one side of ventrals to the other in three positions: at one head length behind neck, at midbody, and at one head length before cloacal plate",Amarasinghe 2021 Oligodon tolaki
XXX,nuchal scale pairs,,Barr 2021 Oligosoma
XXX,supraoculars,,Barr 2021 Oligosoma
XXX,supraciliaries,,Barr 2021 Oligosoma
XXX,upper and lower ciliaries,,Barr 2021 Oligosoma
XXX,infra and supra labials,,Barr 2021 Oligosoma
XXX,posterior suboculars,,Barr 2021 Oligosoma
XXX,anterior suboculars ,,Barr 2021 Oligosoma
SVL,snout-vent length,,Barr 2021 Oligosoma
SE  ,snout to ear (anterior margin),,Barr 2021 Oligosoma
SF,snout to axilla,the junction of the posterior margin of the forelimb with the body wall,Barr 2021 Oligosoma
HL,head length,from tip of snout to posterior extremity of the interparietal,Barr 2021 Oligosoma
HW,head width,between the lateral edges of the left and right parietals,Barr 2021 Oligosoma
AG,axilla to groin,junction of the anterior margin of the hindlimb with the body wall ,Barr 2021 Oligosoma
EF,ear (posterior margin) to axilla,,Barr 2021 Oligosoma
TL,intact tail length,,Barr 2021 Oligosoma
HLL,hindlimb length,from the groin to the tip of the fourth toe including nail,Barr 2021 Oligosoma
FLL,forelimb length,from the axilla to the tip of the fourth finger including nail,Barr 2021 Oligosoma
FTL,length of fourth toe,,Barr 2021 Oligosoma
SVL ,snout-vent length,,Chandramouli 2020 Trimeresurus
TaL ,tail length,,Chandramouli 2020 Trimeresurus
TL;SVL+TaL,total length,,Chandramouli 2020 Trimeresurus
HL,head length,measured from the snout tip to the jaw angle ,Chandramouli 2020 Trimeresurus
HW,head width,at the level of the eyes,Chandramouli 2020 Trimeresurus
HD  ,maximum head depth,,Chandramouli 2020 Trimeresurus
ED                            ,horizontal diameter of the eye,,Chandramouli 2020 Trimeresurus
EN                             ,eye-nostril distance,,Chandramouli 2020 Trimeresurus
ES,snout length,from anterior margin of the eye to snout tip ,Chandramouli 2020 Trimeresurus
IO,inter-orbital distance,measured dorsally as the distance between the eyes ,Chandramouli 2020 Trimeresurus
IN,inter-narial distance,measured as the distance between the nares ,Chandramouli 2020 Trimeresurus
DSR,dorsal scale-rows near neck,midbody and near tail,Chandramouli 2020 Trimeresurus
CEP,number of cephalic scales,counted in a horizontal series between the elongated supraoculars and ventrals,Chandramouli 2020 Trimeresurus
XXX,hemipenis,,Chandramouli 2020 Trimeresurus
SVL,snout-vent length,from tip of snout to vent,Do 2021 Cyrtodactylus orlovi
